section_ref,offence_description,punishment,cognizable,bailable,triable_by,part
182(2),On refusal to disclose the name and address of the printer.,Fine of 600 rupees.,Non-cognizable,Bailable,Any Magistrate,I
183,"Effacing any writing from substance bearing a Government stamp, removing from a document a stamp used for it, with intent to cause a loss to Government.","a Imprisonment for 3 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
184,Using a Government stamp known to have been before used.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
185,Erasure of mark denoting that stamps have been used.,"Imprisonment for 3 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
186,Fictitious stamps.,Fine of 200 rupees.,Cognizable,Bailable,Any Magistrate,I
187,Person employed in a Mint causing coin to be of a different weight or composition from that fixed by law.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
188,Unlawfully taking from a Mint any coining instrument.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
189(2),Being member of an unlawful assembly.,"Imprisonment for 6 months, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
189(3),"Joining or continuing in an unlawful assembly, knowing that it has been commanded to disperse.","Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
189(4),Joining an unlawful assembly armed with any deadly weapon.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
189(5),Knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse.,"Imprisonment for 6 months, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
189(6),"Hiring, engaging or employing persons to take part in an unlawful assembly.","The same as for a member of such assembly, and for any offence committed by any member of such assembly.",Cognizable,According as offence is bailable or non-bailable,The Court by which the offence is triable,I
189(7),Harbouring persons hired for an unlawful assembly.,"Imprisonment for 6 months, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
189(8),Being hired to take part in an unlawful assembly or riot.,"Imprisonment for 6 months, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
189(9),Or to go armed.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
190,Every member of unlawful assembly guilty of offence committed in prosecution of common object.,The same as for the offence.,According as offence is cognizable or non-cognizable,According as offence is bailable or non-bailable,The Court by which the offence is triable,I
191(2),Rioting.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
191(3),"Rioting, armed with a deadly weapon.","Imprisonment for 5 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
192,"Wantonly giving provocation with intent to cause riot, if rioting be committed.","Imprisonment for 1 year, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
192,If not committed.,"Imprisonment for 6 months, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
193(1),"Owner or occupier of land not giving information of riot, etc.","Fine of 1,000 rupees.",Non-cognizable,Bailable,Any Magistrate,I
193(2),Person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it.,Fine.,Non-cognizable,Bailable,Any Magistrate,I
193(3),Agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it.,Fine.,Non-cognizable,Bailable,Any Magistrate,I
194(2),Committing affray.,"Imprisonment for one month, or fine of 1,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
195(1),"Assaulting or obstructing public servant when suppressing riot, etc.","Imprisonment for 3 years, or fine not less than 25,000 rupees, or both.",Cognizable,Bailable,Magistrate of the first class,I
195(2),"Threatening to assault or attempting to obstruct public servant when suppressing riot, etc.","Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
196(1),"Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony.","Imprisonment for 3 years, or fine, or both.",Cognizable,Non-bailable,Magistrate of the first class,I
196(2),"Promoting enmity between classes in place of worship, etc.",Imprisonment for 5 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
197(1),"Imputations, assertions prejudicial to national integration.","Imprisonment for 3 years, or fine, or both.",Cognizable,Non-bailable,Magistrate of the first class,I
197(2),"If committed in a place of public worship, etc.",Imprisonment for 5 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
198,Public servant disobeying direction of the law with intent to cause injury to any person.,"Simple imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
199,Public servant disobeying direction under law.,Rigorous imprisonment for not less than 6 months which may extend to 2 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
200,Non-treatment of victim by hospital.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
201,Public servant framing an incorrect document with intent to cause injury.,"Imprisonment for 3 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
202,Public servant unlawfully engaging in trade.,"Simple imprisonment for 1 year, or fine, or both, or community service.",Non-cognizable,Bailable,Magistrate of the first class,I
203,Public servant unlawfully buying or bidding for property.,"Simple imprisonment for 2 years, or fine, or both and confiscation of property, if purchased.",Non-cognizable,Bailable,Magistrate of the first class,I
204,Personating a public servant.,Imprisonment for not less than 6 months but which may extend to 3 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
205,Wearing garb or carrying token used by public servant with fraudulent intent.,"Imprisonment for 3 months, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
206(a),"Absconding to avoid service Simple of summons or other 1 month, proceeding from a public 5,000 rupees, servant.",imprisonment for or fine of or both.,Non-cognizable,Bailable,Any Magistrate,I
206(b),"If summons or notice require attendance in person, etc., in a Court.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
207(a),"Preventing service of summons or other proceeding, or preventing publication thereof.","Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
207(b),"If summons, etc., require attendance in person, etc., in a Court.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
208(a),Non-attendance in obedience to an order from public servant.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
208(b),"If the order requires personal attendance, etc., in a Court.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
209,Non-appearance in response to a proclamation under section 84 of this Sanhita.,"Imprisonment for 3 years, or fine, or both, or community service.",Cognizable,Non-bailable,Magistrate of the first class,I
209,In a case where declaration has been made under sub-section (4) of section 84 of this Sanhita pronouncing a person as proclaimed offender.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
210(a),Omission to produce document to public servant by person legally bound to produce or deliver it.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate",I
210(b),If the document is required to be produced in or delivered to a Court.,"Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable,Bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate",I
211(a),Intentional omission to give notice or information to public servant by person legally bound to give it.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
211(b),"If the notice or information required respects the commission of an offence, etc.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
211(c),If the notice or information is required by an order passed under sub-section (1) of section 394 of this Sanhita.,"Imprisonment for 6 months, or fine of 1,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
212(a),Knowingly furnishing false information to public servant.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
212(b),"If the information required respects the commission of an offence, etc.","Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
213,Refusing oath when duly required to take oath by a public servant.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate",I
214,"Being legally bound to state truth, and refusing to answer public servant authorised to question.","Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate",I
215,Refusing to sign a statement made to a public servant when legally required to do so.,"Simple imprisonment for 3 months, or fine of 3,000 rupees, or both.",Non-cognizable,Bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate",I
216,Knowingly stating to a public servant on oath as true that which is false.,Imprisonment for 3 years and fine.,Non-cognizable,Bailable,Magistrate of the first class,I
217,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person.,"Imprisonment for 1 year, or with fine of 10,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
218,Resistance to the taking of property by the lawful authority of a public servant.,"Imprisonment for 6 months, or fine of 10,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
219,Obstructing sale of property offered for sale by authority of a public servant.,"Imprisonment for 1 month, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
220,Illegal purchase or bid for property offered for sale by authority of public servant.,"Imprisonment for 1 month, or fine of 200 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
221,Obstructing public servant in discharge of his public functions.,"Imprisonment for 3 months, or fine of 2,500 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
222(a),Omission to assist public servant when bound by law to give such assistance.,"Simple imprisonment for 1 month, or fine of 2,500 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
222(b),"Wilfully neglecting to aid a public servant who demands aid in the execution of process, the prevention of offences, etc.","Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
223(a),"Disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed.","Simple imprisonment for 6 months, or fine of 2,500 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
223(b),"If such disobedience causes danger to human life, health or safety, or causes or tends to cause a riot or affray.","Imprisonment for 1 year, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
224,"Threat of injury to public servant, etc.","Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
225,Threat of injury to induce person to refrain from applying for protection to public servant.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
226,Attempt to commit suicide to compel or restraint exercise of lawful power.,"Imprisonment for 1 year, or fine, or both, or community service.",Non-cognizable,Bailable,Any Magistrate,I
229(1),Intentionally giving or fabricating false evidence in a judicial proceeding.,"Imprisonment for 7 years and 10,000 rupees.",Non-cognizable,Bailable,Magistrate of the first class,I
229(2),Giving or fabricating false evidence in any other case.,"Imprisonment for 3 years and 5,000 rupees.",Non-cognizable,Bailable,Any Magistrate,I
230(1),Giving or fabricating false evidence with intent to cause any person to be convicted of capital offence.,"Imprisonment for life, or rigorous imprisonment for 10 years and 50,000 rupees.",Non-cognizable,Non-bailable,Court of Session,I
230(2),If innocent person be thereby convicted and executed.,"Death, or as above.",Non-cognizable,Non-bailable,Court of Session,I
231,"Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 years, or upwards.",The same as for the offence.,Non-cognizable,Non-bailable,Court of Session,I
232(1),Threatening any person to give false evidence.,"Imprisonment for 7 years, or fine, or both.",Cognizable,Non-bailable,Court by which offence of giving false evidence is triable,I
232(2),"If innocent person is convicted and sentenced consequence of false evidence with death, or imprisonment for more than 7 years.",The same as for the in offence.,Cognizable,Non-bailable,Court by which offence of giving false evidence is triable,I
233,Using in a judicial proceeding evidence known to be false or fabricated.,The same as for giving or fabricating false evidence.,Non-cognizable,According as offence of giving such evidence is bailable or non-bailable,Court by which offence of giving or fabricating false evidence is triable,I
234,Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence.,The same as for giving false evidence.,Non-cognizable,Bailable,Court by which offence of giving false evidence is triable,I
235,Using as a true certificate one known to be false in a material point.,The same as for giving false evidence.,Non-cognizable,Bailable,Court by which offence of giving false evidence is triable,I
236,False statement made in any declaration which is by law receivable as evidence.,The same as for giving false evidence.,Non-cognizable,Bailable,Court by which offence of giving false evidence is triable,I
237,Using as true any such declaration known to be false.,The same as for giving false evidence.,Non-cognizable,Bailable,Court by which offence of giving false evidence is triable,I
238(a),"Causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, if a capital offence.",Imprisonment for 7 years and fine.,According as the offence in relation to which disappearance of evidence is caused is cognizable or non-cognizable,Bailable,Court of Session,I
238(b),If punishable with imprisonment for life or imprisonment for 10 years.,Imprisonment for 3 years and fine.,Non-cognizable,Bailable,Magistrate of the first class,I
238(c),If punishable with less than 10 years' imprisonment.,"Imprisonment for one-fourth of the longest term provided for the offence, or fine, or both.",Non-cognizable,Bailable,Court by which the offence is triable,I
239,Intentional omission to give information of an offence by a person legally bound to inform.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
240,Giving false information respecting an offence committed.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
241,Secreting or destroying any document to prevent its production as evidence.,"Imprisonment for 3 years, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
242,"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or security.","Imprisonment for 3 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
243,"Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture or in satisfaction of a fine under sentence, or in execution of a decree.","Imprisonment for 3 years, or fine, of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
244,"Claiming property without right, or practising deception touching any right to it, to prevent its being taken as a forfeiture, or in satisfaction of a fine under sentence, or in execution of a decree.","Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
245,"Fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfied.","Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
246,False claim in a Court.,Imprisonment for 2 years and fine.,Non-cognizable,Bailable,Magistrate of the first class,I
247,"Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied.","Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
248(a),False charge of offence made with intent to injure.,"Imprisonment for 5 years, or fine of 2 lakh rupees, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
248(b),"Criminal proceeding instituted on a false charge of an offence punishable with death, imprisonment for life, or imprisonment for ten years or upwards.",Imprisonment for 10 years and fine.,Non-cognizable,Bailable,Court of Session,I
249(a),"Harbouring an offender, if the offence is punishable with death.",Imprisonment for 5 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
249(b),If punishable with imprisonment for life or with imprisonment for 10 years.,Imprisonment for 3 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
249(c),If punishable with imprisonment for 1 year and not for 10 years.,"Imprisonment for one-fourth of the longest term, and of the descriptions, provided for the offence, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
250(a),"Taking gift, etc., to screen an offender from punishment if the offence is punishable with death.",Imprisonment for 7 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
250(b),If punishable with imprisonment for life or with imprisonment for 10 years.,Imprisonment for 3 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
250(c),If punishable with imprisonment for less than 10 years.,"Imprisonment for one-fourth of the longest term provided for the offence, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
251(a),Offering gift or restoration of property in consideration of screening offender if the offence is punishable with death.,Imprisonment for 7 years and fine.,Non-cognizable,Bailable,Magistrate of the first class,I
251(b),If punishable with imprisonment for life or with imprisonment for 10 years.,Imprisonment for 3 years and fine.,Non-cognizable,Bailable,Magistrate of the first class,I
251(c),If punishable with imprisonment for less than 10 years.,"Imprisonment for one-fourth of the longest term, provided for the offence, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
252,Taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
253(a),"Harbouring an offender who has escaped from custody, or whose apprehension has been ordered, if the offence is punishable with death.",Imprisonment for 7 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
253(b),If punishable with imprisonment for life or with imprisonment for 10 years.,"Imprisonment for 3 years, with or without fine.",Cognizable,Bailable,Magistrate of the first class,I
253(c),If punishable with imprisonment for 1 year and not for 10 years.,"Imprisonment for one-fourth of the longest term provided for the offence, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
254,Harbouring robbers or dacoits.,Rigorous imprisonment for 7 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
255,"Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture.","Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
256,"Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture.","Imprisonment for 3 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
257,"Public servant in a judicial proceeding corruptly making and pronouncing an order, report, etc. contrary to law.","Imprisonment for 7 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
258,"Commitment for trial or confinement by a person having authority, who knows that he is acting contrary to law.","Imprisonment for 7 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
259(a),"Intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, if the offence is punishable with death.","Imprisonment for 7 years, with or without fine.",According as the offence in relation to which such omission has been made is cognizable or non-cognizable,Bailable,Magistrate of the first class,I
259(b),If punishable with imprisonment for life or imprisonment for 10 years.,"Imprisonment for 3 years, with or without fine.",Cognizable,Bailable,Magistrate of the first class,I
259(c),If punishable with imprisonment for less than 10 years.,"Imprisonment for 2 years, with or without fine.",Cognizable,Bailable,Magistrate of the first class,I
260(a),Intentional omission to apprehend on the part of a public servant bound by law to apprehend person under sentence of a Court if under sentence of death.,"Imprisonment for life, or imprisonment for 14 years, with or without fine.",Cognizable,Non-bailable,Court of Session,I
260(b),"If under sentence of imprisonment for life or imprisonment for 10 years, or upwards.","Imprisonment for 7 years, with or without fine.",Cognizable,Non-bailable,Magistrate of the first class,I
260(c),If under sentence of imprisonment for less than 10 years or lawfully committed to custody.,"Imprisonment for 3 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
261,Escape from confinement negligently suffered by a public servant.,"Simple imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
262,Resistance or obstruction by a person to his lawful apprehension.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
263(a),"Resistance or obstruction to the lawful apprehension of any person, or rescuing him from lawful custody.","Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
263(b),If charged with an offence punishable with imprison-ment for life or imprison-ment for 10 years.,Imprisonment for 3 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
263(c),If charged with offence punishable with death.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
263(d),"If the person is sentenced to imprisonment for life, or imprisonment for 10 years, or upwards.",Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
263(e),If under sentence of death.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
264,"Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for:— (a) in case of intentional omission or sufferance;","Imprisonment for 3 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
264,(b) in case of negligent omission or sufferance.,"Simple imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
265,"Resistance or obstruction lawful apprehension, or escape or rescue in cases not otherwise provided for.","to Imprisonment for 6 months, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
266,Violation of condition of remission of punishment.,"Punishment of original sentence, or if part of the punishment has been undergone, the residue.",Cognizable,Non-bailable,The Court by which the original offence was triable,I
267,Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate",I
268,Personation of an assessor.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
269,Failure by person released on bond or bail bond to appear in Court.,"Imprisonment for 1 year, or fine, or both.",Cognizable,Non-bailable,Any Magistrate,I
271,Negligently doing any act known to be likely to spread infection of any disease dangerous to life.,"Imprisonment for 6 months, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
272,Malignantly doing any act known to be likely to spread infection of any disease dangerous to life.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
273,Knowingly disobeying any quarantine rule.,"Imprisonment for 6 months, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
274,"Adulterating food or drink intended for sale, so as to make the same noxious.","Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
275,"Selling any food or drink as food and drink, knowing the same to be noxious.","Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
276,"Adulterating any drug or medical preparation intended for sale so as to lessen its efficacy, or to change its operation, or to make it noxious.","Imprisonment for 1 year, or fine of 5,000 rupees, or both.",Non-cognizable,Non-bailable,Any Magistrate,I
277,Sale of adulterated drugs.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
278,Knowingly selling of drug as a different drug or preparation.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
279,Fouling water of public spring or reservoir.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
280,Making atmosphere noxious to health.,"Fine of 1,000 rupees.",Non-cognizable,Bailable,Any Magistrate,I
281,Rash driving or riding on a public way.,"Imprisonment for 6 months, or fine of 1,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
282,Rash navigation of vessel.,"Imprisonment for 6 months, or fine of 10,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
283,"Exhibition of a false light, mark or buoy.","Imprisonment for 7 years, and fine which shall not be less than 10,000 rupees.",Cognizable,Bailable,Magistrate of the first class,I
284,Conveying person by water for hire in unsafe or overloaded vessel.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
285,Causing danger or obstruction in public way or line of navigation.,"Fine of 5,000 rupees.",Cognizable,Bailable,Any Magistrate,I
286,Negligent conduct with respect to poisonous substance.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
287,Negligent conduct with respect to fire or combustible matter.,"Imprisonment for 6 months, or fine of 2,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
288,Negligent conduct with respect to explosive substance.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
289,Negligent conduct with respect to machinery.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
290,"Negligent conduct with respect to pulling down, repairing or constructing buildings, etc.","Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
291,Negligent conduct with respect to animal.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
292,Committing public in cases not otherwise provided for.,"nuisance Fine of 1,000 rupees.",Non-cognizable,Bailable,Any Magistrate,I
293,Continuance of nuisance after injunction to discontinue.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
294(2),"Sale, etc., of obscene books, etc.","On first conviction, with imprisonment for 2 years, and with fine of 5,000 rupees, and, in the event of second or subsequent conviction, with imprisonment for 5 years, and with fine of 10,000 rupees.",Cognizable,Bailable,Any Magistrate,I
295,"Sale, etc., of obscene objects to child.","On first conviction, with imprisonment for 3 years, and with fine of 2,000 rupees, and in the event of second or subsequent conviction, with imprisonment for 7 years, and with fine of 5,000 rupees.",Cognizable,Bailable,Any Magistrate,I
296,Obscene acts and songs.,"Imprisonment for 3 months, or fine of 1,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
297(1),Keeping a lottery office.,"Imprisonment for 6 months, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
297(2),Publishing proposals relating to lotteries.,"Fine of 5,000 rupees.",Non-cognizable,Bailable,Any Magistrate,I
298,"Defiling, etc., place of worship, with intent to insult the religion of any class.","Imprisonment for 2 years, or fine, or both.",Cognizable,Non-bailable,Any Magistrate,I
299,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs.","Imprisonment for 3 years, or fine, or both.",Cognizable,Non-bailable,Magistrate of the first class,I
300,Disturbing religious assembly.,"Imprisonment for 1 year, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
301,"Trespassing on burial places, etc.","Imprisonment for 1 year, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
302,"Uttering words, etc., with deliberate intent to wound religious feelings.","Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
303(2),Theft.,Rigorous imprisonment for not be less than 1 year but which may extend to 5 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
303(2),"Where value of property is less than 5,000 rupees.","Upon return of the value of property or restoration of the stolen property, shall be punished with community service.",Non-cognizable,Bailable,Any Magistrate,I
304(2),Snatching.,Imprisonment for 3 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
305,"Theft in a dwelling house, or means of transportation or place of worship, etc.",Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
306,Theft by clerk or servant of property in possession of master or employer.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
307,"Theft after preparation made for causing death, hurt or restraint in order to the committing of theft.",Rigorous imprisonment for 10 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
308(2),Extortion.,"Imprisonment for 7 years, or fine, or both.",Cognizable,Non-bailable,Magistrate of the first class,I
308(3),"Putting or attempting to put in fear of injury, in order to commit extortion.","Imprisonment for 2 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
308(4),Putting or attempting to put a person in fear of death or grievous hurt in order to commit extortion.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
308(5),Extortion by putting a person in fear of death or grievous hurt.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
308(6),"Putting a person in fear of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 years in order to commit extortion.",Imprisonment for 10 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
308(7),"Extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 years.",Imprisonment for 10 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
309(4),Robbery.,Rigorous imprisonment for 10 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
309(4),If robbery committed on highway between sunset and sunrise.,Rigorous imprisonment for 14 years.,Cognizable,Non-bailable,Magistrate of the first class,I
309(5),Attempt to commit robbery.,Rigorous imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
